"filename", "language", "TypeScript", "CSS", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "SQLite", "TypeScript JSX", "YAML", "comment", "blank", "total"
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 3, 59
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 3, 57
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\summary-stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 4, 92
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\types.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 111
"d:\College\Sem3\Db\GroupProject\rms\components\reports\sales-report.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1069, 0, 53, 81, 1203
"d:\College\Sem3\Db\GroupProject\rms\components\reports\sales\sales-forecast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 5, 18, 123
"d:\College\Sem3\Db\GroupProject\rms\components\reports\sales\summary-stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 4, 89
"d:\College\Sem3\Db\GroupProject\rms\components\reports\sales\types.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\College\Sem3\Db\GroupProject\rms\components\restaurant-types\restaurant-type-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 15, 165
"d:\College\Sem3\Db\GroupProject\rms\components\restaurant-types\restaurant-type-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 14, 190
"d:\College\Sem3\Db\GroupProject\rms\components\restaurants\restaurant-edit-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 0, 20, 261
"d:\College\Sem3\Db\GroupProject\rms\components\restaurants\restaurant-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 8, 181
"d:\College\Sem3\Db\GroupProject\rms\components\restaurants\restaurant-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 1, 15, 231
"d:\College\Sem3\Db\GroupProject\rms\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 6, 164
"d:\College\Sem3\Db\GroupProject\rms\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\College\Sem3\Db\GroupProject\rms\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
"d:\College\Sem3\Db\GroupProject\rms\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 15, 142
"d:\College\Sem3\Db\GroupProject\rms\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"d:\College\Sem3\Db\GroupProject\rms\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"d:\College\Sem3\Db\GroupProject\rms\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"d:\College\Sem3\Db\GroupProject\rms\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"d:\College\Sem3\Db\GroupProject\rms\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 11, 116
"d:\College\Sem3\Db\GroupProject\rms\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"d:\College\Sem3\Db\GroupProject\rms\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 6, 67
"d:\College\Sem3\Db\GroupProject\rms\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
"d:\College\Sem3\Db\GroupProject\rms\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 31, 263
"d:\College\Sem3\Db\GroupProject\rms\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 327, 0, 2, 37, 366
"d:\College\Sem3\Db\GroupProject\rms\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"d:\College\Sem3\Db\GroupProject\rms\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 12
"d:\College\Sem3\Db\GroupProject\rms\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 18, 154
"d:\College\Sem3\Db\GroupProject\rms\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 19, 201
"d:\College\Sem3\Db\GroupProject\rms\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 14, 123
"d:\College\Sem3\Db\GroupProject\rms\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 14, 119
"d:\College\Sem3\Db\GroupProject\rms\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 19, 201
"d:\College\Sem3\Db\GroupProject\rms\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 26, 179
"d:\College\Sem3\Db\GroupProject\rms\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"d:\College\Sem3\Db\GroupProject\rms\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
"d:\College\Sem3\Db\GroupProject\rms\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"d:\College\Sem3\Db\GroupProject\rms\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"d:\College\Sem3\Db\GroupProject\rms\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 20, 237
"d:\College\Sem3\Db\GroupProject\rms\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 12, 129
"d:\College\Sem3\Db\GroupProject\rms\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"d:\College\Sem3\Db\GroupProject\rms\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"d:\College\Sem3\Db\GroupProject\rms\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\College\Sem3\Db\GroupProject\rms\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"d:\College\Sem3\Db\GroupProject\rms\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"d:\College\Sem3\Db\GroupProject\rms\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"d:\College\Sem3\Db\GroupProject\rms\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 15, 161
"d:\College\Sem3\Db\GroupProject\rms\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\College\Sem3\Db\GroupProject\rms\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 16, 141
"d:\College\Sem3\Db\GroupProject\rms\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 697, 0, 12, 55, 764
"d:\College\Sem3\Db\GroupProject\rms\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\College\Sem3\Db\GroupProject\rms\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\College\Sem3\Db\GroupProject\rms\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"d:\College\Sem3\Db\GroupProject\rms\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\College\Sem3\Db\GroupProject\rms\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"d:\College\Sem3\Db\GroupProject\rms\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 8, 56
"d:\College\Sem3\Db\GroupProject\rms\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"d:\College\Sem3\Db\GroupProject\rms\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 14, 130
"d:\College\Sem3\Db\GroupProject\rms\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\College\Sem3\Db\GroupProject\rms\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"d:\College\Sem3\Db\GroupProject\rms\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"d:\College\Sem3\Db\GroupProject\rms\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
